_id,pin,address,billing_city,current_delq_tax,current_delq_pi,prior_years,prior_delq_tax,prior_delq_pi,state_description,neighborhood,council_district,ward,public_works_division,pli_division,police_zone,fire_zone,longitude,latitude
2000192,0175H00174000000,7930 TACOMA ST,"PITTSBURGH, PA",118.05,0,13,1357.16,816.86,Residential,Homewood South,9,13,2,13,5,3-17,-79.88544407158872,40.450257771631065
2000193,0175C00240000000,ALSACE ST,"PITTSBURGH, PA",3.81,0,13,129.63,168.85,Residential,Homewood South,9,13,2,13,5,3-17,-79.88907691799972,40.45116419231144
2000194,0173N00277000000,N MURTLAND ST,"PITTSBURGH, PA",7.62,0,13,2093.36,2435.26,Residential,Homewood West,9,12,2,12,5,3-18,-79.89935598454545,40.463726784377215
2000195,0124S00283000000,6956 UPLAND ST,"PITTSBURGH, PA",625.19,0,13,8047.69,5445.79,Residential,Homewood West,9,12,2,12,5,3-18,-79.89983722733545,40.46307794445741
2000196,0125G00152000000,MCCOMBS ST,"PITTSBURGH, PA",17.16,0,13,214.62,142.01,Residential,Homewood West,9,12,2,12,5,3-17,-79.90427125907954,40.459165542446925
2000197,0125G00027000000,6821 KELLY ST,"PITTSBURGH, PA",50.22,0,13,12113.27,14752.47,Residential,Homewood West,9,12,2,12,5,3-17,-79.90549326479301,40.45770096250646
2000198,0124S00153000000,820 LINCOLN AVE,"PITTSBURGH, PA",181.08,0,13,2564.29,2388.94,Residential,Homewood West,9,12,2,12,5,3-15,-79.90337417620243,40.46336410231382
2000199,0014R00099000000,ROCHELLE ST,"PITTSBURGH, PA",13.35,0,13,2104.88,2099.45,Residential,Knoxville,3,30,4,30,3,4-6,-79.98953700347924,40.41534600176995
2000200,0033B00278000000,215 MARLAND ST,"PITTSBURGH, PA",670.93,0,13,8306.32,4841.88,Residential,Knoxville,3,30,4,30,3,4-7,-79.99125448746268,40.41220130847815
2000201,0014K00186000000,337 JUCUNDA ST,"MIAMI, FL",659.5,0,13,8063.74,5150.27,Residential,Knoxville,3,30,4,30,3,4-21,-79.99505062289577,40.41741662835432
2000202,0033B00369000000,MOORE AVE,"HENDERSON, NV",15.25,0,13,1548.8,1492.96,Residential,Knoxville,3,30,4,30,3,4-7,-79.99353569781675,40.41150547817345
2000203,0014R00079000000,65 AMANDA AVE,"IRVONA, PA",486.04,0,13,6935.72,7710,Residential,Knoxville,3,30,4,30,3,4-6,-79.9883834293566,40.415743557263774
2000204,0014R00139000000,126 KNOX AVE,"PITTSBURGH, PA",285.92,0,13,3299.35,2003.14,Residential,Knoxville,3,30,4,30,3,4-6,-79.9902753675018,40.41472051148766
2000205,0033K00052000000,230 WILBUR ST,"PITTSBURGH, PA",189.42,0,13,3737.42,2328.8,Residential,Knoxville,3,30,4,30,3,4-7,-79.9938828059536,40.407685118009354
2000206,0033B00102000000,112 REDLYN ST,"PITTSBURGH, PA",470.79,0,13,6094.76,4102.32,Residential,Knoxville,3,30,4,30,3,4-7,-79.99167990970129,40.41297686313823
2000207,0014L00152000000,JUCUNDA ST,"PITTSBURGH, PA",85.78,0,13,732.62,461.64,Residential,Knoxville,3,30,4,30,3,4-6,-79.98897194152347,40.417176674032554
2000208,0125E00110000000,6554 FRANKSTOWN AVE,"PITTSBURGH, PA",425.04,0,13,3763.58,2145.91,Residential,Larimer,9,12,2,12,5,3-10,-79.91236718511436,40.459686122404605
2000209,0124N00268000000,212 MEADOW ST,"PITTSBURGH, PA",98.68,0,13,1113.91,715.7,Residential,Larimer,9,12,2,12,5,3-12,-79.9121524649101,40.462861314532205
2000210,0124P00299000000,543 TURRETT ST,"PITTSBURGH, PA",217.61,0,13,4758.7,5979.43,Residential,Larimer,9,12,2,12,5,3-12,-79.90914526403408,40.462762048111074
2000211,0124P00081000000,530 PAULSON AVE,"PITTSBURGH, PA",327.83,0,13,4314.39,2945.14,Residential,Larimer,9,12,2,12,5,3-12,-79.91131844513293,40.46376807176689
2000212,0124R00038000000,329 LADSON ST,"PITTSBURGH, PA",242.07,0,13,3090.6,2627.56,Residential,Larimer,9,12,2,12,5,3-12,-79.90742766245118,40.463539610713134
2000213,0184N00242000000,1137 MARGRAY ST,"PITTSBURGH, PA",1265.61,0,13,11924.46,6822.66,Residential,Lincoln Place,5,31,4,31,4,4-20,-79.9159744505912,40.36738850590738
2000214,0185S00341000000,MARGRAY ST,"WINTER GARDEN, FL",55.28,0,13,649.15,400.77,Residential,Lincoln Place,5,31,4,31,4,4-20,-79.91618666818718,40.367388808890354
2000215,0184N00243000000,MARGRAY ST,"WINTER GARDEN, FL",17.16,0,13,214.97,141.45,Residential,Lincoln Place,5,31,4,31,4,4-20,-79.9161042145749,40.3673931723915
2000216,0173K00082000000,7214 LEMINGTON AVE,"PITTSBURGH, PA",213.49,0,13,2704.41,1868.16,Residential,Lincoln-Lemington-Belmar,9,12,2,12,5,3-18,-79.89314550453794,40.466780512361865
2000217,0173F00275000000,7239 SOMERSET ST,"PITTSBURGH, PA",0,0,13,4567.04,90.71,Residential,Lincoln-Lemington-Belmar,9,12,2,12,5,3-18,-79.8926534997143,40.467890621457215
2000218,0124G00088000000,6439 DEAN ST,"PITTSBURGH, PA",120.7,0,13,1836.02,1399.29,Residential,Lincoln-Lemington-Belmar,9,12,2,12,5,3-15,-79.90419673321854,40.468621238766495
2000219,0173F00285000000,7267 SOMERSET ST,"PITTSBURGH, PA",707.14,0,13,8812.21,5636.09,Residential,Lincoln-Lemington-Belmar,9,12,2,12,5,3-18,-79.89173201074767,40.46792913807997
2000220,0124L00234000000,ROWAN ST,"PORTLAND, ME",60.99,0,13,727.3,456.21,Residential,Lincoln-Lemington-Belmar,9,12,2,12,5,3-15,-79.90623234772016,40.466629482803285
2000221,0124M00189000000,6619 APPLE ST,"PITTSBURGH, PA",132.16,0,13,3573.86,3514,Residential,Lincoln-Lemington-Belmar,9,12,2,12,5,3-15,-79.90210525785437,40.46629967347666
2000222,0173F00115000000,1519 WESTMORELAND AVE,"PITTSBURGH, PA",0,0,13,4595,3327.08,Residential,Lincoln-Lemington-Belmar,9,12,2,12,5,3-18,-79.89441211059771,40.46892436640306
2000223,0173F00325000000,SOMERSET ST,"PITTSBURGH, PA",19.06,0,13,255.68,195.53,Residential,Lincoln-Lemington-Belmar,9,12,2,12,5,3-18,-79.89228935783278,40.46750416351992
2000224,0173F00318000000,SOMERSET ST,"PITTSBURGH, PA",20.98,0,13,1411.51,1739.88,Residential,Lincoln-Lemington-Belmar,9,12,2,12,5,3-18,-79.89162437611843,40.467541610004304
2000225,0173E00092000000,1363 MONTEZUMA ST,"PITTSBURGH, PA",608.02,0,13,7966.35,5417.67,Residential,Lincoln-Lemington-Belmar,9,12,2,12,5,3-15,-79.89797806759172,40.468947975108414
2000226,0124L00227000000,ROWAN ST,"PITTSBURGH, PA",60.99,0,13,1675.21,1611.24,Residential,Lincoln-Lemington-Belmar,9,12,2,12,5,3-15,-79.90567391694742,40.466298600989205
2000227,0124G00251000000,6419 APPLE ST,"PITTSBURGH, PA",991.12,0,13,12890.33,9216.64,Residential,Lincoln-Lemington-Belmar,9,12,2,12,5,3-15,-79.90548384590134,40.468302567976714
2000228,0124M00352000000,HEDGE ST,"PITTSBURGH, PA",9.54,0,13,2845.11,3691.63,Residential,Lincoln-Lemington-Belmar,9,12,2,12,5,3-15,-79.90093599894989,40.46665686962868
